date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-09-01,11.083272,83.436455,430.98615,60.758522,82.740074,3.4605448,4.2999167
2003-09-02,10.929886,85.00433,434.8518,61.961006,80.73636,3.4981675,4.043357
2003-09-03,10.565808,85.85716,437.4704,62.612362,77.56353,3.4773748,3.7335627
2003-09-04,10.41122,86.34633,439.35544,63.03423,75.768814,3.5098977,3.5572963
2003-09-05,8.575147,85.13619,439.92505,61.907566,71.902855,2.959922,2.7935712
2003-09-06,7.9093485,83.70147,439.3924,60.71924,67.35108,2.693909,2.4520915
2003-09-07,7.7447896,83.237,439.69873,60.369152,67.476295,2.572321,2.3843718
2003-09-08,8.636518,83.4249,441.27875,60.41768,71.99775,2.879572,2.9108975
2003-09-09,8.313308,80.60023,436.3648,58.314415,61.52376,3.0057364,2.9076445
2003-09-10,7.317769,77.13749,428.00375,55.9145,50.089928,2.7930906,2.4858756
2003-09-11,6.0601554,72.99191,416.9564,52.76993,46.115486,2.456695,1.8801587
2003-09-12,6.336585,73.447716,418.58868,52.94064,61.04751,2.545654,2.1225154
2003-09-13,7.288002,75.070335,421.79724,54.130127,72.39491,2.6634803,2.7263098
2003-09-14,8.255692,76.75433,425.66464,55.26863,76.804535,2.8492064,3.2593155
2003-09-15,9.024803,78.94671,429.93646,56.93963,80.040054,3.0069008,3.5755885
2003-09-16,9.047744,80.558495,433.67706,58.17591,77.55317,3.0094056,3.419957
2003-09-17,7.7572145,78.65222,429.48947,56.877815,64.03056,2.8309999,2.6545281
2003-09-18,7.879457,78.260254,427.35672,56.696274,63.252636,2.824625,2.727077
2003-09-19,8.156505,79.34662,429.9028,57.47126,70.41547,2.728151,2.9037766
2003-09-20,7.7631474,79.804306,432.5585,57.65771,72.94045,2.5940118,2.8012326
2003-09-21,6.5477505,78.26112,429.82742,56.44772,64.10413,2.281345,2.1673245
2003-09-22,6.835346,77.44498,425.87177,56.02181,56.67387,2.4109392,2.1681108
2003-09-23,6.800513,77.759674,425.74265,56.228626,62.10825,2.340478,2.1545327
2003-09-24,6.7443604,78.12738,427.3622,56.29838,67.80475,2.2367399,2.304216
2003-09-25,6.9871035,78.18877,427.36728,56.448586,69.87905,2.412106,2.5246618
2003-09-26,7.222823,77.29087,425.75534,55.88186,64.51529,2.7712915,2.6203616
2003-09-27,7.4388766,76.7305,423.78293,55.61034,63.300114,2.8740296,2.751812
2003-09-28,7.9316034,77.33434,424.93805,56.151646,69.893974,2.9839237,3.122247
2003-09-29,7.2847795,75.80502,418.94916,55.216206,56.48559,2.9109213,2.633469
2003-09-30,6.589654,74.51372,412.1359,54.498844,51.018303,2.738974,2.1196449
2003-10-01,6.1722813,74.14342,411.1974,54.067734,55.18443,2.5159318,2.0064924
2003-10-02,6.374095,74.82134,413.4699,54.448296,64.25127,2.5091958,2.174619
2003-10-03,6.0155168,74.45667,412.85886,54.12435,61.274,2.4307775,1.9563452
2003-10-04,6.5195427,74.44411,411.8495,54.165367,59.18955,2.6771827,2.0981944
2003-10-05,6.8098035,75.011986,412.90912,54.642548,61.107315,2.8334596,2.27528
2003-10-06,7.2599497,75.55243,413.8089,55.14688,62.65032,2.94916,2.6095893
2003-10-07,7.216771,76.06817,413.64352,55.659447,63.35758,2.8089435,2.6268787
2003-10-08,7.3877773,76.57784,413.36276,56.1528,64.42255,2.7923481,2.7616634
2003-10-09,8.187956,78.10572,416.30658,57.328133,71.71554,2.9632123,3.3837771
2003-10-10,8.22886,78.84113,418.1191,57.900925,70.96908,3.090198,3.301939
2003-10-11,7.277599,77.85991,414.15262,57.32987,57.385963,2.9029238,2.5121453
2003-10-12,6.382858,76.11352,408.39944,56.014153,51.33639,2.6747072,2.040042
2003-10-13,6.643026,75.711586,406.844,55.70855,54.067493,2.7891731,2.3175538
2003-10-14,7.0999355,76.2526,408.174,56.06947,62.90223,2.6989772,2.7716908
2003-10-15,8.202768,77.31629,410.75024,56.780476,72.60305,2.9925058,3.4209497
2003-10-16,9.121852,79.43877,414.81323,58.510975,77.38629,3.1552074,3.9932864
2003-10-17,9.443132,81.6398,419.35394,60.337666,80.42716,3.0363095,4.160684
2003-10-18,9.96759,83.698296,424.09558,62.010834,81.26701,3.187069,4.2841315
2003-10-19,9.906318,85.36929,428.3691,63.316147,78.52991,3.3289306,3.9697192
2003-10-20,8.960462,85.90136,430.16806,63.66147,70.784676,3.3074744,3.2479713
2003-10-21,7.765763,83.53091,427.5316,61.651936,63.66296,3.0758345,2.636941
2003-10-22,7.719296,82.788414,428.54633,61.021374,67.170135,3.0395365,2.6748426
2003-10-23,8.075905,83.614815,431.68744,61.619297,71.74457,3.1151993,2.9375203
2003-10-24,7.160267,82.90786,431.84253,60.949017,68.00453,2.7429998,2.4302292
2003-10-25,7.211452,82.77672,433.18137,60.708984,68.90454,2.6582313,2.5083382
2003-10-26,6.538207,81.80069,431.12375,59.977036,64.12348,2.3949668,2.0953364
2003-10-27,5.8884406,80.88273,429.4201,59.33579,59.901928,2.1017883,1.7790475
2003-10-28,5.000124,77.67952,416.5996,56.92389,42.77555,1.8899164,1.3006752
2003-10-29,4.180827,74.11337,404.44147,53.828133,37.728973,1.5809886,1.0257416
2003-10-30,4.1254287,73.07553,402.90652,52.787407,50.744686,1.5607985,1.1263292
